11:38 || Information || Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager || User profile is available. Using '"C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys"' as key repository and Windows DPAPI to encrypt keys at rest. ||  ||end 
11:38 || Information || Microsoft.Hosting.Lifetime || Now listening on: "http://localhost:44322" ||  ||end 
11:38 || Information || Microsoft.Hosting.Lifetime || Application started. Press Ctrl+C to shut down. ||  ||end 
11:38 || Information || Microsoft.Hosting.Lifetime || Hosting environment: "Development" ||  ||end 
11:38 || Information || Microsoft.Hosting.Lifetime || Content root path: "I:\个人\ManagerSys\ManagerSys\" ||  ||end 
11:38 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/swagger/index.html - - ||  ||end 
11:38 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - ||  ||end 
11:38 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - - 200 12000 application/javascript;+charset=utf-8 3.3367ms ||  ||end 
11:38 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/_vs/browserLink - - ||  ||end 
11:38 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/swagger/index.html - - - 200 - text/html;charset=utf-8 271.8467ms ||  ||end 
11:38 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 23.5320ms ||  ||end 
11:38 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/swagger/v1/swagger.json - - ||  ||end 
11:38 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 86.8901ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - - 200 12000 application/javascript;+charset=utf-8 1.5449ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard - - - 401 0 - 125.4553ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.simple-line-icons.css - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.bootstrap.min.css - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.font-awesome.min.css - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.tempusdominus-bootstrap-4.min.css - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard - - - 200 - text/html 352.6475ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.styles.css - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.jquery.min.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.tempusdominus-bootstrap-4.min.css - - - 200 - text/css 12.3280ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.font-awesome.min.css - - - 200 - text/css 12.3327ms ||  ||end 
