09:15 || Information ||  || Starting ManagerSys.Host... ||  ||end 
11:09 || Information ||  || Starting ManagerSys.Host... ||  ||end 
11:18 || Information ||  || Starting ManagerSys.Host... ||  ||end 
11:19 || Information ||  || Starting ManagerSys.Host... ||  ||end 
11:19 || Information ||  || Starting ManagerSys.Host... ||  ||end 
11:19 || Information ||  || Starting ManagerSys.Host... ||  ||end 
11:23 || Information ||  || Starting ManagerSys.Host... ||  ||end 
11:26 || Information ||  || Starting ManagerSys.Host... ||  ||end 
11:30 || Information ||  || Starting ManagerSys.Host... ||  ||end 
11:32 || Information ||  || Starting ManagerSys.Host... ||  ||end 
11:35 || Information ||  || Starting ManagerSys.Host... ||  ||end 
11:37 || Information ||  || Starting ManagerSys.Host... ||  ||end 
16:02 || Information ||  || Starting ManagerSys.Host... ||  ||end 
16:15 || Information ||  || Starting ManagerSys.Host... ||  ||end 
16:23 || Information ||  || Starting ManagerSys.Host... ||  ||end 
16:28 || Information ||  || Starting ManagerSys.Host... ||  ||end 
